incident_severity,insured_hobbies,incident_type,collision_type,incident_state,authorities_contacted,property_claim,vehicle_claim,policy_annual_premium,insured_zip,policy_number,total_claim_amount,months_as_customer,injury_claim,age,insured_occupation,capital-gains,fraud_reported
Major Damage,paintball,Multi-vehicle Collision,Side Collision,NY,Police,10360,36260,1368.57,474860,769475,51800,372,5180,50,tech-support,0,N
Trivial Damage,movies,Vehicle Theft,?,SC,Police,1200,4800,862.19,606858,844062,6600,398,600,55,adm-clerical,69400,N
Total Loss,movies,Single Vehicle Collision,Side Collision,SC,Fire,6740,53920,871.46,477938,844129,74140,213,13480,35,tech-support,58500,N
Total Loss,paintball,Single Vehicle Collision,Front Collision,VA,Fire,6780,47460,1863.04,462698,732169,67800,79,13560,25,priv-house-serv,53400,N
Major Damage,exercise,Single Vehicle Collision,Rear Collision,NY,Fire,11080,38780,1181.64,454552,221854,55400,232,5540,44,other-service,25800,Y
Major Damage,reading,Single Vehicle Collision,Rear Collision,SC,Ambulance,4910,34370,1060.74,471585,776950,49100,230,9820,37,tech-support,0,Y
Major Damage,video-games,Multi-vehicle Collision,Side Collision,SC,Police,7560,75600,951.56,455426,291006,98280,234,15120,41,transport-moving,59400,Y
Total Loss,polo,Multi-vehicle Collision,Rear Collision,VA,Fire,12100,48400,1533.71,469856,845751,66550,240,6050,40,protective-serv,0,N
Major Damage,board-games,Multi-vehicle Collision,Side Collision,WV,Fire,7040,49280,1200.09,454191,889764,70400,143,14080,33,craft-repair,38400,N
Major Damage,board-games,Multi-vehicle Collision,Side Collision,WV,Ambulance,8880,39960,1093.83,468454,929306,53280,266,4440,42,adm-clerical,0,Y
Total Loss,golf,Single Vehicle Collision,Front Collision,NY,Other,15380,53830,988.93,614187,515457,84590,89,15380,32,craft-repair,27600,N
Total Loss,base-jumping,Single Vehicle Collision,Rear Collision,NY,Other,9920,34720,1331.94,433974,556270,54560,229,9920,37,farming-fishing,0,N
Minor Damage,camping,Single Vehicle Collision,Rear Collision,OH,Ambulance,7470,67230,1361.45,604833,908935,82170,245,7470,40,handlers-cleaners,39300,N
Total Loss,bungie-jumping,Multi-vehicle Collision,Front Collision,NY,Police,12220,42770,1188.51,447469,525862,61100,50,6110,44,handlers-cleaners,0,N
Minor Damage,cross-fit,Multi-vehicle Collision,Front Collision,NY,Police,10380,36330,1101.83,451529,490514,51900,230,5190,43,exec-managerial,28900,Y
Trivial Damage,hiking,Parked Car,?,SC,Police,430,2580,840.95,431202,774895,3440,17,430,39,adm-clerical,32500,N
Total Loss,cross-fit,Single Vehicle Collision,Side Collision,WV,Ambulance,11420,34260,1503.21,448190,974522,51390,163,5710,36,other-service,55700,N
Major Damage,base-jumping,Single Vehicle Collision,Side Collision,WV,Other,7690,61520,1722.5,453713,669809,76900,29,7690,32,other-service,0,N
Minor Damage,kayaking,Single Vehicle Collision,Rear Collision,WV,Other,7700,53900,944.03,440153,182953,77000,232,15400,42,handlers-cleaners,0,Y
Major Damage,yachting,Single Vehicle Collision,Side Collision,NC,Other,9280,41760,1453.61,619570,836349,60320,235,9280,39,craft-repair,0,Y
Minor Damage,dancing,Single Vehicle Collision,Rear Collision,NY,Fire,6070,42490,1672.88,478947,591269,60700,295,12140,46,armed-forces,0,N
Total Loss,movies,Multi-vehicle Collision,Rear Collision,SC,Police,0,47360,1248.05,443550,550127,53280,22,5920,21,exec-managerial,37500,N
Minor Damage,movies,Single Vehicle Collision,Rear Collision,NY,Fire,3810,26670,1564.43,477644,663190,34290,286,3810,43,prof-specialty,77500,N
Total Loss,basketball,Single Vehicle Collision,Rear Collision,WV,Other,5220,41760,1280.88,433981,109392,46980,257,0,44,other-service,59400,N
Major Damage,camping,Multi-vehicle Collision,Front Collision,OH,Fire,7340,25690,722.66,433696,215278,36700,94,3670,26,exec-managerial,50300,N
Total Loss,camping,Multi-vehicle Collision,Side Collision,OH,Other,6020,48160,1235.14,443567,674570,60200,124,6020,28,exec-managerial,0,N
Minor Damage,bungie-jumping,Parked Car,?,SC,,1080,4860,1347.04,430665,681486,6480,141,540,30,sales,0,N
Minor Damage,paintball,Single Vehicle Collision,Front Collision,NC,Fire,8720,61040,1310.8,431289,941851,87200,3,17440,38,craft-repair,0,N
Major Damage,sleeping,Single Vehicle Collision,Rear Collision,SC,Fire,18080,72320,1436.79,608177,186934,108480,285,18080,41,prof-specialty,70900,N
Minor Damage,bungie-jumping,Multi-vehicle Collision,Side Collision,NC,Police,7500,52500,1383.49,442797,918516,67500,130,7500,34,armed-forces,35100,N
Major Damage,base-jumping,Single Vehicle Collision,Rear Collision,NY,Other,5220,36540,1356.92,441714,533940,46980,458,5220,62,handlers-cleaners,0,N
Minor Damage,kayaking,Parked Car,?,WV,Police,920,3680,766.19,612260,556080,5060,456,460,60,sales,0,N
